region,comuna,hh_d_acc,hh_d_accesi,hh_d_act,hh_d_appart,hh_d_asis,hh_d_cot,hh_d_entorno,hh_d_esc,hh_d_estado,hh_d_habitab,hh_d_hacina,hh_d_jub,hh_d_mal,hh_d_medio,hh_d_prevs,hh_d_rez,hh_d_seg,hh_d_servbas,hh_d_tsocial,pobreza_multi_4d,pobreza_multi_5d
Region de La Araucania,Lautaro,0.02849740932642487,0.04580152671755725,0.11704834605597965,0,0.015267175572519083,0.20051413881748073,0.061068702290076333,0.309462915601023,0.13486005089058525,0.23155216284987276,0.13740458015267176,0.10178117048346055,0.13994910941475827,0.015267175572519083,0.02544529262086514,0,0.010178117048346057,0.06361323155216285,0.09414758269720101,0.1394736842105263,0.14736842105263157
Region de La Araucania,Loncoche,0.06346153846153846,0.09904761904761905,0.1657142857142857,0.036893203883495145,0.049523809523809526,0.39499036608863197,0.12380952380952381,0.41714285714285715,0.23238095238095238,0.36,0.1619047619047619,0.13333333333333333,0.07047619047619047,0.024761904761904763,0.04780114722753346,0.022857142857142857,0.03619047619047619,0.12380952380952381,0.09142857142857143,0.28515625,0.3107569721115538
Region de La Araucania,Lonquimay,0.031818181818181815,0.12272727272727273,0.18636363636363637,0,0.031818181818181815,0.4608294930875576,0.17272727272727273,0.518348623853211,0.2727272727272727,0.36818181818181817,0.15,0.08636363636363636,0.08181818181818182,0.05,0.02727272727272727,0.013636363636363636,0,0.41818181818181815,0.1409090909090909,0.4377880184331797,0.4930875576036866
Region de La Araucania,Los Sauces,0.017064846416382253,0.15120274914089346,0.17966101694915254,0.05423728813559322,0.04745762711864407,0.2705479452054795,0.15120274914089346,0.6508474576271186,0.3299319727891156,0.3707482993197279,0.16549295774647887,0.17627118644067796,0.06779661016949153,0,0,0.09830508474576272,0.020338983050847456,0.3423728813559322,0.14576271186440679,0.36231884057971014,0.38515901060070673
Region de La Araucania,Lumaco,0.0034602076124567475,0.15714285714285714,0.11764705882352941,0.02422145328719723,0.01730103806228374,0.2926829268292683,0.15714285714285714,0.6401384083044983,0.2179930795847751,0.31338028169014087,0.1795774647887324,0.09342560553633218,0.1245674740484429,0,0.010380622837370242,0.0726643598615917,0.02422145328719723,0.39792387543252594,0.11072664359861592,0.36524822695035464,0.46886446886446886
Region de La Araucania,Melipeuco,0.02926829268292683,0.21951219512195122,0.1902439024390244,0.01951219512195122,0.07804878048780488,0.5151515151515151,0.21951219512195122,0.5560975609756098,0.22926829268292684,0.28780487804878047,0.07804878048780488,0.07804878048780488,0.10945273631840796,0,0.02030456852791878,0.06341463414634146,0.13170731707317074,0.28292682926829266,0.08780487804878048,0.3333333333333333,0.42473118279569894
Region de La Araucania,Nueva Imperial,0.06635071090047394,0.1543942992874109,0.1018957345971564,0.02132701421800948,0.02132701421800948,0.5202863961813843,0.16864608076009502,0.4099526066350711,0.19518072289156627,0.2457831325301205,0.07109004739336493,0.11137440758293839,0.12470023980815348,0.014218009478672985,0.018957345971563982,0.023696682464454975,0.004739336492890996,0.34834123222748814,0.16113744075829384,0.36855036855036855,0.41379310344827586
Region de La Araucania,Padre Las Casas,0.0273972602739726,0.18313953488372092,0.09450337512054002,0.036893203883495145,0.019286403085824494,0.3815142576204523,0.20155038759689922,0.3897485493230174,0.19479267116682739,0.24057971014492754,0.08888888888888889,0.07714561234329798,0.05842259006815969,0.01832208293153327,0.027263875365141188,0.031945788964181994,0.026036644165863067,0.21705426356589147,0.11764705882352941,0.2533470648815654,0.29552549427679503
Region de La Araucania,Perquenco,0.0391304347826087,0.1,0.12173913043478261,0.030434782608695653,0.02608695652173913,0.3,0.11304347826086956,0.5304347826086957,0.14782608695652175,0.30434782608695654,0.1565217391304348,0.1608695652173913,0.035398230088495575,0.013043478260869565,0,0.030434782608695653,0.008695652173913044,0.1782608695652174,0.15217391304347827,0.21875,0.2544642857142857
Region de La Araucania,Pitrufquen,0.096,0.18586387434554974,0.17539267015706805,0.01832460732984293,0,0.4473684210526316,0.19109947643979058,0.39790575916230364,0.19261213720316622,0.21635883905013192,0.02356020942408377,0.14136125654450263,0.02617801047120419,0.005235602094240838,0.09424083769633508,0.015706806282722512,0.034031413612565446,0.21465968586387435,0.1806282722513089,0.25675675675675674,0.2972972972972973
Region de La Araucania,Pucon,0.016556291390728478,0.19471947194719472,0.10163934426229508,0.029508196721311476,0.04918032786885246,0.48344370860927155,0.19471947194719472,0.45,0.16065573770491803,0.20327868852459016,0.10163934426229508,0.06885245901639345,0.009836065573770493,0,0.04983388704318937,0.036065573770491806,0.05573770491803279,0.2754098360655738,0.05901639344262295,0.2655172413793103,0.3090277777777778
Region de La Araucania,Puren,0,0.10830324909747292,0.1371841155234657,0.05776173285198556,0.05776173285198556,0.4620938628158845,0.10830324909747292,0.6028880866425993,0.1371841155234657,0.20938628158844766,0.09747292418772563,0.08303249097472924,0.09386281588447654,0,0.04693140794223827,0.021660649819494584,0.01444043321299639,0.36101083032490977,0.16967509025270758,0.33941605839416056,0.38321167883211676
Region de La Araucania,Renaico,0.011194029850746268,0.19776119402985073,0.13059701492537312,0.041044776119402986,0.03731343283582089,0.1509433962264151,0.25,0.5447761194029851,0.1865671641791045,0.21641791044776118,0.06716417910447761,0.10820895522388059,0.06589147286821706,0.05223880597014925,0,0.026119402985074626,0.10820895522388059,0.16417910447761194,0.07835820895522388,0.1568627450980392,0.17647058823529413
